| Equation : | exp(x**2-4)          |                      |                      |                       |                     |
|            |                      |                      |                      |                       |                     |
| Iteration  | X(i)                 | X(i+1)               | f(Xi)                | f’(Xi)                | AbsError            |
| 0          | 3                    | 2.8333333333333335   | 148.4131591025766    | 890.4789546154595     | 0.16666666666666652 |
| 1          | 2.8333333333333335   | 2.6568627450980395   | 56.13602581289881    | 318.10414627309325    | 0.17647058823529393 |
| 2          | 2.6568627450980395   | 2.4686708631792205   | 21.304528298418322   | 113.20641507590913    | 0.18819188191881908 |
| 3          | 2.4686708631792205   | 2.266132725164302    | 8.12004609360681     | 40.09144239791876     | 0.20253813801491827 |
| 4          | 2.266132725164302    | 2.0454925153267483   | 3.112286073616695    | 14.105706642991814    | 0.22064020983755395 |
| 5          | 2.0454925153267483   | 1.8010526084321832   | 1.2020634602371174   | 4.917623621725592     | 0.24443990689456507 |
| 6          | 1.8010526084321832   | 1.5234371752909768   | 0.4694424797613323   | 1.6909812053660398    | 0.2776154331412064  |
| 7          | 1.5234371752909768   | 1.1952319771314268   | 0.18653448087453536  | 0.5683471252757417    | 0.32820519815954996 |
| 8          | 1.1952319771314268   | 0.7769031425900293   | 0.07642690226964627  | 0.18269575501155927   | 0.41832883454139747 |
| 9          | 0.7769031425900293   | 0.1333222731226893   | 0.03349290990982734  | 0.052041493926859195  | 0.64358086946734    |
| 10         | 0.1333222731226893   | -3.616988821107433   | 0.018644106811450904 | 0.004971349400889698  | 3.7503110942301223  |
| 11         | -3.616988821107433   | -3.4787522865950278  | 8800.890002641501    | -63665.44151070095    | 0.13823653451240503 |
| 12         | -3.4787522865950278  | -3.3350225930705153  | 3300.1310919210914   | -22960.677164167686   | 0.14372969352451248 |
| 13         | -3.3350225930705153  | -3.1850985712546223  | 1239.3913561605268   | -8266.796348903325    | 0.14992402181589304 |
| 14         | -3.1850985712546223  | -3.0281175583238205  | 466.31105367643596   | -2970.493341650107    | 0.1569810129308018  |
| 15         | -3.0281175583238205  | -2.8629984734898852  | 175.8261894311255    | -1064.8447428591226   | 0.16511908483393523 |
| 16         | -2.8629984734898852  | -2.688356396440323   | 66.47063420339386    | -380.6106485124423    | 0.17464207704956225 |
| 17         | -2.688356396440323   | -2.502369151348097   | 25.21048840012232    | -135.5495554957068    | 0.18598724509222597 |
| 18         | -2.502369151348097   | -2.3025585040138954  | 9.600847440391842    | -48.049728923271765   | 0.19981064733420162 |
| 19         | -2.3025585040138954  | -2.08540875553698    | 3.6758178951519516   | -16.927571507377166   | 0.2171497484769156  |
| 20         | -2.08540875553698    | -1.8456476062311435  | 1.4175495014534354   | -5.91234028347615     | 0.23976114930583625 |
| 21         | -1.8456476062311435  | -1.5747399864277012  | 0.5523436270504161   | -2.038863386165256    | 0.27090761980344236 |
| 22         | -1.5747399864277012  | -1.257227251430573   | 0.21866946639648022  | -0.6886951050906919   | 0.3175127349971283  |
| 23         | -1.257227251430573   | -0.8595266770665824  | 0.0889767981429107   | -0.22372811074060905  | 0.39770057436399053 |
| 24         | -0.8595266770665824  | -0.27781116626194446 | 0.03834182694275366  | -0.06591164620953403  | 0.5817155108046379  |
| 25         | -0.27781116626194446 | 1.5219725023633714   | 0.019785202762557817 | -0.010993100508390466 | 1.799783668625316   |
| 26         | 1.5219725023633714   | 1.193451455351298    | 0.18570429131171884  | 0.5652736498946265    | 0.3285210470120734  |
| 27         | 1.193451455351298    | 0.7744985119717764   | 0.07610254105145432  | 0.18164937674758014   | 0.4189529433795216  |
| 28         | 0.7744985119717764   | 0.12891947951235638  | 0.03336819577510125  | 0.05168723594999767   | 0.64557903245942    |
| 29         | 0.12891947951235638  | -3.7494703642201195  | 0.018622592816849193 | 0.004801629946237489  | 3.8783898437324758  |
| 30         | -3.7494703642201195  | -3.6161181967323257  | 23354.104101371195   | -175131.04242200567   | 0.13335216748779377 |
| 31         | -3.6161181967323257  | -3.4778483800952973  | 8745.642127699504    | -63250.551280165986   | 0.13826981663702842 |
| 32         | -3.4778483800952973  | -3.334081330657018   | 3279.444590684426    | -22810.822114648236   | 0.14376704943827923 |
| 33         | -3.334081330657018   | -3.1841149829850286  | 1231.6355979238158   | -8212.746506420775    | 0.14996634767198946 |
| 34         | -3.1841149829850286  | -3.0270854778723515  | 463.39889380596054   | -2951.0307217324944   | 0.1570295051126771  |
| 35         | -3.0270854778723515  | -2.8619100959232977  | 174.73079764335085   | -1057.8501201664797   | 0.1651753819490538  |
| 36         | -2.8619100959232977  | -2.6872016029094064  | 66.05775249107829    | -378.10269753643865   | 0.17470849301389135 |
| 37         | -2.6872016029094064  | -2.501134431968955   | 25.05447500972485    | -134.65285081237258   | 0.18606717094045155 |
| 38         | -2.501134431968955   | -2.3012251453632016  | 9.54171698548815     | -47.73023378501487    | 0.19990928660575324 |
| 39         | -2.3012251453632016  | -2.083949577604235   | 3.6533230192576953   | -16.814237592100042   | 0.2172755677589664  |
| 40         | -2.083949577604235   | -1.8440205479514096  | 1.408951544027408    | -5.872367950081504    | 0.2399290296528256  |
| 41         | -1.8440205479514096  | -1.57287389475632    | 0.5490376729805747   | -2.0248735011512125   | 0.2711466531950897  |
| 42         | -1.57287389475632    | -1.2549844557702     | 0.21738882442739818  | -0.6838504139072392   | 0.31788943898612    |
| 43         | -1.2549844557702     | -0.8565731466092878  | 0.08847687896135327  | -0.22207421558311957  | 0.39841130916091205 |
| 44         | -0.8565731466092878  | -0.2728518357332338  | 0.038147981031201934 | -0.06535307229737614  | 0.5837213108760541  |
